Temp , Taille , ex , num
(16:27:52.462)  ,       128 ,   2 ,    0
(16:27:52.463)  ,       214 ,   2 ,    1
(16:27:52.464)  ,       300 ,   2 ,    2
(16:27:52.466)  ,       386 ,   2 ,    3
(16:27:52.467)  ,       472 ,   2 ,    4
(16:27:52.469)  ,       558 ,   2 ,    5
(16:27:52.470)  ,       644 ,   2 ,    6
(16:27:52.471)  ,       730 ,   2 ,    7
(16:27:52.473)  ,       816 ,   2 ,    8
(16:27:52.475)  ,       902 ,   2 ,    9
(16:27:52.477)  ,       988 ,   2 ,   10
(16:27:52.479)  ,      1074 ,   2 ,   11
(16:27:52.480)  ,      1160 ,   2 ,   12
(16:27:52.482)  ,      1246 ,   2 ,   13
(16:27:52.485)  ,      1332 ,   2 ,   14
(16:27:52.487)  ,      1418 ,   2 ,   15
(16:27:52.488)  ,      1504 ,   2 ,   16
(16:27:52.489)  ,      1590 ,   2 ,   17
(16:27:52.493)  ,      1676 ,   2 ,   18
(16:27:52.496)  ,      1762 ,   2 ,   19
(16:27:52.501)  ,      1848 ,   2 ,   20
(16:27:52.502)  ,      1934 ,   2 ,   21
(16:27:52.504)  ,      2020 ,   2 ,   22
(16:27:52.506)  ,      2106 ,   2 ,   23
(16:27:52.509)  ,      2192 ,   2 ,   24
(16:27:52.514)  ,      2278 ,   2 ,   25
(16:27:52.515)  ,      2364 ,   2 ,   26
(16:27:52.516)  ,      2450 ,   2 ,   27
(16:27:52.517)  ,      2536 ,   2 ,   28
(16:27:52.518)  ,      2622 ,   2 ,   29
(16:27:52.519)  ,      2708 ,   2 ,   30
(16:27:52.520)  ,      2794 ,   2 ,   31
(16:27:52.523)  ,      2880 ,   2 ,   32
(16:27:52.524)  ,      2966 ,   2 ,   33
(16:27:52.526)  ,      3052 ,   2 ,   34
(16:27:52.528)  ,      3138 ,   2 ,   35
(16:27:52.529)  ,      3224 ,   2 ,   36
(16:27:52.531)  ,      3310 ,   2 ,   37
(16:27:52.533)  ,      3396 ,   2 ,   38
(16:27:52.534)  ,      3482 ,   2 ,   39
(16:27:52.535)  ,      3568 ,   2 ,   40
(16:27:52.536)  ,      3654 ,   2 ,   41
(16:27:52.539)  ,      3740 ,   2 ,   42
(16:27:52.540)  ,      3826 ,   2 ,   43
(16:27:52.541)  ,      3912 ,   2 ,   44
(16:27:52.543)  ,      3998 ,   2 ,   45
(16:27:52.546)  ,      4084 ,   2 ,   46
(16:27:52.547)  ,      4170 ,   2 ,   47
(16:27:52.549)  ,      4256 ,   2 ,   48
(16:27:52.550)  ,      4342 ,   2 ,   49
(16:27:52.551)  ,      4428 ,   2 ,   50
(16:27:52.554)  ,      4514 ,   2 ,   51
(16:27:52.556)  ,      4600 ,   2 ,   52
(16:27:52.557)  ,      4686 ,   2 ,   53
(16:27:52.558)  ,      4772 ,   2 ,   54
(16:27:52.561)  ,      4858 ,   2 ,   55
(16:27:52.562)  ,      4944 ,   2 ,   56
(16:27:52.564)  ,      5030 ,   2 ,   57
(16:27:52.565)  ,      5116 ,   2 ,   58
(16:27:52.567)  ,      5202 ,   2 ,   59
(16:27:52.568)  ,      5288 ,   2 ,   60
(16:27:52.569)  ,      5374 ,   2 ,   61
(16:27:52.570)  ,      5460 ,   2 ,   62
(16:27:52.572)  ,      5546 ,   2 ,   63
(16:27:52.574)  ,      5632 ,   2 ,   64
(16:27:52.575)  ,      5718 ,   2 ,   65
(16:27:52.578)  ,      5804 ,   2 ,   66
(16:27:52.580)  ,      5890 ,   2 ,   67
(16:27:52.582)  ,      5976 ,   2 ,   68
(16:27:52.583)  ,      6062 ,   2 ,   69
(16:27:52.585)  ,      6148 ,   2 ,   70
(16:27:52.587)  ,      6234 ,   2 ,   71
(16:27:52.589)  ,      6320 ,   2 ,   72
(16:27:52.590)  ,      6406 ,   2 ,   73
(16:27:52.591)  ,      6492 ,   2 ,   74
(16:27:52.594)  ,      6578 ,   2 ,   75
(16:27:52.595)  ,      6664 ,   2 ,   76
(16:27:52.597)  ,      6750 ,   2 ,   77
(16:27:52.600)  ,      6836 ,   2 ,   78
(16:27:52.602)  ,      6922 ,   2 ,   79
(16:27:52.603)  ,      7008 ,   2 ,   80
(16:27:52.605)  ,      7094 ,   2 ,   81
(16:27:52.606)  ,      7180 ,   2 ,   82
(16:27:52.608)  ,      7266 ,   2 ,   83
(16:27:52.613)  ,      7352 ,   2 ,   84
(16:27:52.614)  ,      7438 ,   2 ,   85
(16:27:52.617)  ,      7524 ,   2 ,   86
(16:27:52.619)  ,      7610 ,   2 ,   87
(16:27:52.621)  ,      7696 ,   2 ,   88
(16:27:52.622)  ,      7782 ,   2 ,   89
(16:27:52.624)  ,      7868 ,   2 ,   90
(16:27:52.625)  ,      7954 ,   2 ,   91
(16:27:52.628)  ,      8040 ,   2 ,   92
(16:27:52.630)  ,      8126 ,   2 ,   93
(16:27:52.633)  ,      8212 ,   2 ,   94
(16:27:52.635)  ,      8298 ,   2 ,   95
(16:27:52.637)  ,      8384 ,   2 ,   96
(16:27:52.638)  ,      8470 ,   2 ,   97
(16:27:52.640)  ,      8556 ,   2 ,   98
(16:27:52.642)  ,      8642 ,   2 ,   99
(16:27:52.644)  ,      8728 ,   2 ,  100
(16:27:52.646)  ,      8814 ,   2 ,  101
(16:27:52.648)  ,      8900 ,   2 ,  102
(16:27:52.649)  ,      8986 ,   2 ,  103
(16:27:52.651)  ,      9072 ,   2 ,  104
(16:27:52.653)  ,      9158 ,   2 ,  105
(16:27:52.655)  ,      9244 ,   2 ,  106
(16:27:52.657)  ,      9330 ,   2 ,  107
(16:27:52.659)  ,      9416 ,   2 ,  108
(16:27:52.662)  ,      9502 ,   2 ,  109
(16:27:52.664)  ,      9588 ,   2 ,  110
(16:27:52.665)  ,      9674 ,   2 ,  111
(16:27:52.667)  ,      9760 ,   2 ,  112
(16:27:52.668)  ,      9846 ,   2 ,  113
(16:27:52.670)  ,      9932 ,   2 ,  114
(16:27:52.672)  ,     10018 ,   2 ,  115
(16:27:52.673)  ,     10104 ,   2 ,  116
(16:27:52.677)  ,     10190 ,   2 ,  117
(16:27:52.680)  ,     10276 ,   2 ,  118
(16:27:52.683)  ,     10362 ,   2 ,  119
(16:27:52.685)  ,     10448 ,   2 ,  120
(16:27:52.687)  ,     10534 ,   2 ,  121
(16:27:52.689)  ,     10620 ,   2 ,  122
(16:27:52.691)  ,     10706 ,   2 ,  123
(16:27:52.692)  ,     10792 ,   2 ,  124
(16:27:52.695)  ,     10878 ,   2 ,  125
(16:27:52.697)  ,     10964 ,   2 ,  126
(16:27:52.699)  ,     11050 ,   2 ,  127
(16:27:52.700)  ,     11136 ,   2 ,  128
(16:27:52.702)  ,     11222 ,   2 ,  129
(16:27:52.704)  ,     11308 ,   2 ,  130
(16:27:52.706)  ,     11394 ,   2 ,  131
(16:27:52.708)  ,     11480 ,   2 ,  132
(16:27:52.711)  ,     11566 ,   2 ,  133
(16:27:52.713)  ,     11652 ,   2 ,  134
(16:27:52.714)  ,     11738 ,   2 ,  135
(16:27:52.716)  ,     11824 ,   2 ,  136
(16:27:52.718)  ,     11910 ,   2 ,  137
(16:27:52.720)  ,     11996 ,   2 ,  138
(16:27:52.722)  ,     12082 ,   2 ,  139
(16:27:52.724)  ,     12168 ,   2 ,  140
(16:27:52.726)  ,     12254 ,   2 ,  141
(16:27:52.728)  ,     12340 ,   2 ,  142
(16:27:52.730)  ,     12426 ,   2 ,  143
(16:27:52.732)  ,     12512 ,   2 ,  144
(16:27:52.734)  ,     12598 ,   2 ,  145
(16:27:52.736)  ,     12684 ,   2 ,  146
(16:27:52.738)  ,     12770 ,   2 ,  147
(16:27:52.739)  ,     12856 ,   2 ,  148
