Temp , Taille , ex , num
(15:51:41.087) ,595076 ,  16 , 6918
(15:51:41.104) ,595162 ,  24 , 6919
(15:51:41.121) ,595248 ,  16 , 6920
(15:51:41.139) ,595334 ,  20 , 6921
(15:51:41.155) ,595420 ,  22 , 6922
(15:51:41.170) ,595506 ,  24 , 6923
(15:51:41.186) ,595592 ,  21 , 6924
(15:51:41.204) ,595678 ,  18 , 6925
(15:51:41.221) ,595764 ,  22 , 6926
(15:51:41.237) ,595850 ,  14 , 6927
(15:51:41.253) ,595936 ,  14 , 6928
(15:51:41.270) ,596022 ,  13 , 6929
(15:51:41.286) ,596108 ,  13 , 6930
(15:51:41.302) ,596194 ,  15 , 6931
(15:51:41.318) ,596280 ,  11 , 6932
(15:51:41.334) ,596366 ,  14 , 6933
(15:51:41.350) ,596452 ,  12 , 6934
(15:51:41.367) ,596538 ,  15 , 6935
(15:51:41.384) ,596624 ,  13 , 6936
(15:51:41.399) ,596710 ,  15 , 6937
(15:51:41.414) ,596796 ,  14 , 6938
(15:51:41.430) ,596882 ,  15 , 6939
(15:51:41.446) ,596968 ,  16 , 6940
(15:51:41.463) ,597054 ,  15 , 6941
(15:51:41.479) ,597140 ,  27 , 6942
(15:51:41.496) ,597226 ,  15 , 6943
(15:51:41.511) ,597312 ,  23 , 6944
(15:51:41.529) ,597398 ,  22 , 6945
(15:51:41.546) ,597484 ,  16 , 6946
(15:51:41.562) ,597570 ,  23 , 6947
(15:51:41.578) ,597656 ,  10 , 6948
(15:51:41.594) ,597742 ,  14 , 6949
(15:51:41.610) ,597828 ,  17 , 6950
(15:51:41.627) ,597914 ,  20 , 6951
(15:51:41.643) ,598000 ,  16 , 6952
(15:51:41.660) ,598086 ,  17 , 6953
(15:51:41.676) ,598172 ,  16 , 6954
(15:51:41.693) ,598258 ,   6 , 6955
(15:51:41.710) ,598344 ,  19 , 6956
(15:51:41.726) ,598430 ,  21 , 6957
(15:51:41.741) ,598516 ,  13 , 6958
(15:51:41.759) ,598602 ,  13 , 6959
(15:51:41.774) ,598688 ,  14 , 6960
(15:51:41.789) ,598774 ,  14 , 6961
(15:51:41.804) ,598860 ,  14 , 6962
(15:51:41.820) ,598946 ,  14 , 6963
(15:51:41.836) ,599032 ,  18 , 6964
(15:51:41.856) ,599118 ,  21 , 6965
(15:51:41.874) ,599204 ,  22 , 6966
(15:51:41.890) ,599290 ,  12 , 6967
(15:51:41.911) ,599376 ,  22 , 6968
(15:51:41.929) ,599462 ,  13 , 6969
(15:51:41.946) ,599548 ,  29 , 6970
(15:51:41.962) ,599634 ,  26 , 6971
(15:51:41.977) ,599720 ,  19 , 6972
(15:51:41.993) ,599806 ,  19 , 6973
(15:51:42.011) ,599892 ,  22 , 6974
(15:51:42.027) ,599978 ,  12 , 6975
(15:51:42.046) ,600064 ,  16 , 6976
(15:51:42.063) ,600150 ,  15 , 6977
(15:51:42.079) ,600236 ,  18 , 6978
(15:51:42.095) ,600322 ,  20 , 6979
(15:51:42.110) ,600408 ,  21 , 6980
(15:51:42.128) ,600494 ,  28 , 6981
(15:51:42.144) ,600580 ,  13 , 6982
(15:51:42.160) ,600666 ,  17 , 6983
(15:51:42.176) ,600752 ,  18 , 6984
(15:51:42.193) ,600838 ,  21 , 6985
(15:51:42.211) ,600924 ,  12 , 6986
(15:51:42.228) ,601010 ,  23 , 6987
(15:51:42.247) ,601096 ,  16 , 6988
(15:51:42.263) ,601182 ,  13 , 6989
(15:51:42.278) ,601268 ,  17 , 6990
(15:51:42.293) ,601354 ,  17 , 6991
(15:51:42.309) ,601440 ,  14 , 6992
(15:51:42.326) ,601526 ,  18 , 6993
(15:51:42.345) ,601612 ,  18 , 6994
(15:51:42.362) ,601698 ,  18 , 6995
(15:51:42.377) ,601784 ,  24 , 6996
(15:51:42.395) ,601870 ,  13 , 6997
(15:51:42.413) ,601956 ,  17 , 6998
(15:51:42.429) ,602042 ,  15 , 6999
(15:51:42.446) ,602128 ,  12 , 7000
(15:51:42.463) ,602214 ,  13 , 7001
(15:51:42.479) ,602300 ,  19 , 7002
(15:51:42.496) ,602386 ,  21 , 7003
(15:51:42.511) ,602472 ,  14 , 7004
(15:51:42.528) ,602558 ,  28 , 7005
(15:51:42.544) ,602644 ,  23 , 7006
(15:51:42.561) ,602730 ,  12 , 7007
(15:51:42.577) ,602816 ,  16 , 7008
(15:51:42.595) ,602902 ,  19 , 7009
(15:51:42.612) ,602988 ,  17 , 7010
(15:51:42.629) ,603074 ,  16 , 7011
(15:51:42.646) ,603160 ,  13 , 7012
(15:51:42.662) ,603246 ,  24 , 7013
(15:51:42.679) ,603332 ,  20 , 7014
(15:51:42.694) ,603418 ,  18 , 7015
(15:51:42.711) ,603504 ,  17 , 7016
(15:51:42.728) ,603590 ,  12 , 7017
(15:51:42.743) ,603676 ,  13 , 7018
(15:51:42.760) ,603762 ,  20 , 7019
(15:51:42.782) ,603848 ,  14 , 7020
(15:51:42.798) ,603934 ,  17 , 7021
(15:51:42.813) ,604020 ,  16 , 7022
(15:51:42.830) ,604106 ,  16 , 7023
(15:51:42.846) ,604192 ,  20 , 7024
(15:51:42.862) ,604278 ,  21 , 7025
(15:51:42.878) ,604364 ,  18 , 7026
(15:51:42.894) ,604450 ,  18 , 7027
(15:51:42.910) ,604536 ,  17 , 7028
(15:51:42.926) ,604622 ,  19 , 7029
(15:51:42.945) ,604708 ,  13 , 7030
(15:51:42.964) ,604794 ,  16 , 7031
(15:51:42.980) ,604880 ,  15 , 7032
(15:51:42.996) ,604966 ,  18 , 7033
(15:51:43.013) ,605052 ,  15 , 7034
(15:51:43.029) ,605138 ,  19 , 7035
(15:51:43.045) ,605224 ,  21 , 7036
(15:51:43.061) ,605310 ,  15 , 7037
(15:51:43.077) ,605396 ,  17 , 7038
(15:51:43.093) ,605482 ,  14 , 7039
(15:51:43.111) ,605568 ,  15 , 7040
(15:51:43.134) ,605654 ,   6 , 7041
(15:51:43.151) ,605740 ,  23 , 7042
(15:51:43.168) ,605826 ,  15 , 7043
(15:51:43.184) ,605912 ,  14 , 7044
(15:51:43.200) ,605998 ,  14 , 7045
(15:51:43.215) ,606084 ,  14 , 7046
(15:51:43.231) ,606170 ,  21 , 7047
(15:51:43.247) ,606256 ,  21 , 7048
(15:51:43.263) ,606342 ,  17 , 7049
(15:51:43.279) ,606428 ,  15 , 7050
(15:51:43.297) ,606514 ,  13 , 7051
(15:51:43.313) ,606600 ,  18 , 7052
(15:51:43.331) ,606686 ,  14 , 7053
(15:51:43.347) ,606772 ,  20 , 7054
(15:51:43.364) ,606858 ,  17 , 7055
(15:51:43.380) ,606944 ,  16 , 7056
(15:51:43.395) ,607030 ,  17 , 7057
(15:51:43.412) ,607116 ,  21 , 7058
(15:51:43.428) ,607202 ,  21 , 7059
(15:51:43.444) ,607288 ,  20 , 7060
(15:51:43.462) ,607374 ,  17 , 7061
(15:51:43.478) ,607460 ,  21 , 7062
(15:51:43.494) ,607546 ,  25 , 7063
(15:51:43.510) ,607632 ,  17 , 7064
(15:51:43.527) ,607718 ,  12 , 7065
(15:51:43.546) ,607804 ,  18 , 7066
(15:51:43.564) ,607890 ,  14 , 7067
(15:51:43.580) ,607976 ,  15 , 7068
(15:51:43.596) ,608062 ,  20 , 7069
(15:51:43.613) ,608148 ,  21 , 7070
(15:51:43.631) ,608234 ,  14 , 7071
(15:51:43.647) ,608320 ,  21 , 7072
